cell_id,source_file,batch_date_inferred,cell_index,n_cycles_available,q_discharge_cycle_2,q_discharge_cycle_100,q_discharge_mean_2_100,q_charge_mean_2_100,capacity_fade_2_100,capacity_fade_pct_2_100,capacity_slope_2_100,ir_mean_2_100,ir_change_2_100,tavg_mean_2_100,tmax_mean_2_100,tmin_mean_2_100,chargetime_mean_2_100,chargetime_change_2_100,soh_cycle_100_proxy,screening_label,screening_label_encoded
2018-04-12_cell_002,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,2,99,1.060818,1.0606135,1.0620735151515153,1.061423983838384,0.0002044999999999,0.0192775763608781,-2.0391179962896454e-05,0.0146185666161616,-0.00041669,36.79033178065713,40.5242590441136,32.361787809528934,10.043663265993228,0.0002083333335285,99.98072242363912,Reuse,2
2017-05-12_cell_014,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,14,99,1.0709661,1.0762016,1.0761029171717171,1.075364595959596,-0.0052355000000001,-0.4888576771944668,2.6234124922695652e-05,0.0169750018383838,-6.811500000000054e-05,33.07746279993842,36.63094507070707,30.081030757575764,14.925935387205389,0.0835033333333736,100.48885767719446,Conditional Reuse,0
2018-04-12_cell_017,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,17,99,1.0664514,1.0664585,1.067047807070707,1.06625417979798,-7.0999999999266095e-06,-0.0006657593585536,-5.833125541129357e-06,0.0154435866464646,-0.0001622749999999,35.07228784758459,37.40160198756502,32.455675181202416,10.0421028114478,-0.0011483333333064,100.00066575935855,Reuse,2
2017-06-30_cell_036,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,36,99,1.079731,1.0852383,1.08517187979798,1.0848497303030302,-0.0055073000000001,-0.5100622284624693,2.40557600494703e-05,0.0201881499797979,9.954900000000086e-05,33.41465124229428,38.13596305050506,30.33438446464646,10.140430505050515,-0.0005249999999552,100.51006222846246,Conditional Reuse,0
2018-04-12_cell_013,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,13,99,1.065558,1.067306,1.0687136323232325,1.068625397979798,-0.001748,-0.1640455047965556,-1.2185193568334853e-05,0.0151285627171717,-0.0001451409999999,34.11768528185422,37.233278981795394,31.323500893525303,10.042358249158228,0.0014516666664956,100.16404550479656,Conditional Reuse,0
2018-04-12_cell_001,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,1,99,1.0650603,1.0664777,1.0677216717171716,1.0673237272727272,-0.0014174,-0.1330816668314473,-1.4719340754489794e-05,0.014984559090909,-0.000102823,34.83231929224147,37.98835277556221,31.57773904653022,10.041381363636305,0.0021266666672694,100.13308166683146,Reuse,2
2017-06-30_cell_008,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,8,99,1.026484,1.0305706,1.030979109090909,1.030609093939394,-0.0040865999999999,-0.3981162882227039,-1.1100766852229196e-06,0.0172774354949494,0.000279134,32.04514521064846,35.181334525252524,29.73036748484849,13.386691666666657,-0.0847416666666642,100.39811628822272,Conditional Reuse,0
2017-06-30_cell_022,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,22,99,1.079723,1.0825431,1.0842036181818182,1.0840962484848484,-0.0028201000000001,-0.2611873600914404,-8.084566481135177e-06,0.0170169382626262,-0.0003455369999999,31.93073263477864,35.205671333333335,29.95081041414141,10.15466846801348,-0.0674966666668002,100.26118736009144,Conditional Reuse,0
2017-05-12_cell_041,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,41,99,1.0789614,1.0821686,1.082886786868687,1.0829608636363637,-0.0032071999999998,-0.2972488172421973,-1.385528757008372e-07,0.0167448905050505,-9.889999999998511e-07,33.07332253245542,36.8232453030303,30.24096153535353,12.091290892255918,-7.999999982821748e-05,100.2972488172422,Reuse,2
2018-04-12_cell_022,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,22,99,1.0562643,1.0569046,1.0581549232323233,1.057997839393939,-0.0006402999999999,-0.0606192976511586,-1.5988764378477872e-05,0.0156856873535353,-0.000122983,34.61069656408486,37.5322343873043,31.640105505547105,10.04255023569017,-0.0010666666671266,100.06061929765116,Reuse,2
2017-05-12_cell_040,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,40,99,1.0833029,1.0857353,1.0869299777777777,1.087122691919192,-0.0024324,-0.224535538490666,-8.204863327151616e-06,0.0166792732121212,6.656899999999896e-05,33.45968416375564,37.756139949494944,30.277771616161612,12.087224326599337,-0.0004849999998448,100.22453553849068,Conditional Reuse,0
2018-04-12_cell_014,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,14,99,1.0727056,1.0763919,1.077015806060606,1.0765029424242425,-0.0036863,-0.3436450783887053,4.636107606678319e-06,0.0155519219898989,-7.740999999999998e-05,33.11953606667905,35.48777029470216,31.07188550111836,10.041858265993287,-0.0005883333336278,100.3436450783887,Conditional Reuse,0
2018-04-12_cell_018,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,18,99,1.0680237,1.0670015,1.0688689090909091,1.0687508737373737,0.0010221999999999,0.0957094865965964,-2.9274941249227192e-05,0.0150155265353535,-3.7439999999999696e-05,35.2914180269327,37.97024186611959,32.39435838372084,10.04310829966328,-0.0018650000000572,99.9042905134034,Reuse,2
2018-04-12_cell_003,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,3,99,1.0628892,1.0635946,1.0646530202020204,1.0640129565656564,-0.0007053999999999,-0.0663662778773147,-1.2654854669145048e-05,0.0149999637676767,5.60549999999993e-05,36.08374244976545,39.4408972847914,32.17067620845048,10.041502946127975,-0.001556666666632,100.06636627787732,Reuse,2
2017-05-12_cell_020,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,20,99,1.07263,1.0612478,1.0698410858585858,1.0691817929292928,0.0113821999999998,1.06114876518463,-0.0001397761818181,0.015056726030303,-0.000580528,32.15292201754506,34.92834715151515,29.96077201010101,9.027207626262616,0.0301633333335598,98.93885123481536,Conditional Reuse,0
2017-06-30_cell_009,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,9,99,1.0317495,1.0348208,1.0351226626262628,1.0347281606060603,-0.0030712999999999,-0.2976788454949577,-8.856790352507275e-06,0.017105432020202,0.0003285869999999,32.515688412240905,36.19736731313132,30.049963272727272,13.3755686868687,-0.0843133333333145,100.29767884549496,Reuse,2
2017-06-30_cell_004,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,4,99,1.0728973,1.0650914,1.07188638989899,1.0712055212121212,0.0078058999999999,0.7275533268654811,-0.0001067501001855,0.0161888629393939,-0.00085516,32.9024450940803,37.069230989899,30.212344242424244,10.144656565656542,0.1198700000000823,99.27244667313452,Recycle,1
2018-04-12_cell_028,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,28,99,1.0518668,1.0340093,1.0445220202020202,1.0445340656565656,0.0178575,1.6976959440111696,-0.0001980220853432,0.0134208849696969,0.000435923,35.69688828820833,39.55791836716047,32.29372696775114,10.088611986532047,0.083721666666678,98.30230405598884,Conditional Reuse,0
2018-04-12_cell_016,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,16,99,1.061009,1.0625579,1.0635088555555554,1.0634576202020205,-0.0015488999999999,-0.1459836815710294,-9.691301175015204e-06,0.0153110507171717,-0.0001209359999999,34.94134876933804,37.83242540611344,31.981891168783747,11.040587407407404,-0.0150166666671189,100.14598368157104,Reuse,2
2018-04-12_cell_020,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,20,99,1.0650502,1.0664401,1.067449897979798,1.0669259595959597,-0.0013898999999999,-0.1305008909439146,-7.154074211503765e-06,0.0152633222323232,-7.635700000000085e-05,33.10212248197412,35.739254750947524,30.852143628467964,10.043380471380493,0.0009550000000064,100.1305008909439,Conditional Reuse,0
2017-06-30_cell_013,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,13,99,1.080285,1.0716245,1.078972927272727,1.078820404040404,0.0086604999999999,0.8016865919641539,-0.000121203641311,0.0165961688686868,-0.0004970629999999,33.36424175210755,37.74174986868687,30.323652656565656,10.26909826599325,0.1051333333334092,99.19831340803584,Recycle,1
2017-05-12_cell_034,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,34,99,1.0766174,1.0794187,1.0800699888888887,1.080049704040404,-0.0028013,-0.2601945686554951,-3.129647495377911e-07,0.016855197080808,-2.8376000000000096e-05,32.66455167507311,36.08252629292929,29.988331222222225,11.035507962962974,-0.0007116666663016,100.26019456865548,Conditional Reuse,0
2017-06-30_cell_038,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,38,99,1.0699497,1.074622,1.0749444787878788,1.0746875272727272,-0.0046722999999999,-0.4366840796347681,1.645809276437357e-05,0.0177427454646464,-3.56749999999989e-05,32.17443347288497,36.40732571717172,29.731181383838383,10.129633686868685,1.4999999983444924e-05,100.43668407963476,Recycle,1
2017-05-12_cell_035,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,35,99,1.0707464,1.0739936,1.0745076737373735,1.074457304040404,-0.0032472000000001,-0.3032650868590468,3.1953209647471863e-06,0.0169670922929292,3.243499999999733e-05,32.09733437854189,34.87752171717172,29.813014555555554,11.036444074074083,0.0833099999998925,100.30326508685906,Conditional Reuse,0
2018-04-12_cell_010,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,10,99,1.0617746,1.0623909,1.06437858989899,1.064068297979798,-0.0006163000000001,-0.0580443344566846,-2.8759653679712824e-06,0.0153730747171717,-0.0001438639999999,32.5348014795901,34.79216549532189,30.68763079160192,11.039443922558933,0.0004433333334112,100.05804433445668,Reuse,2
2017-06-30_cell_021,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,21,99,1.0768799,1.0766457,1.079894198989899,1.0796417262626263,0.0002341999999999,0.0217480147971897,-4.3975447124306646e-05,0.0174125553535353,-0.0002588729999999,32.35872588704418,36.29858464646465,30.170509959595964,10.144018451178432,-0.0797050000001036,99.97825198520282,Recycle,1
2017-05-12_cell_036,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,36,99,1.0778315,1.0802411,1.0812765595959597,1.081064185858586,-0.0024096,-0.2235599905922225,-7.183043908478368e-06,0.0164377462626262,8.785199999999938e-05,32.04688205693082,33.970878757575754,30.278352737373737,11.554803670033683,-0.000169999999585,100.22355999059222,Conditional Reuse,0
2017-06-30_cell_027,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,27,99,1.065841,1.0693567,1.070622919191919,1.0703910414141415,-0.0035156999999998,-0.329852201219497,4.945726654254184e-07,0.0173394337575757,-0.00026701,32.00299248761868,35.74766228282829,29.89440901010101,10.128570050505092,-0.0835266666666338,100.32985220121952,Recycle,1
2018-04-12_cell_021,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,21,99,1.0678563,1.0538316,1.0619781898989895,1.0617610636363637,0.0140247,1.3133508694006863,-0.0001594917019171,0.0140930141313131,0.000233937,34.90039941646808,37.9177756860133,32.05768382629157,10.079161515151515,0.0333999999995278,98.6866491305993,Conditional Reuse,0
2017-06-30_cell_016,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,16,99,1.0096419,1.0058126,1.0102501828282828,1.0099773383838382,0.0038293,0.3792730868241537,-6.755700309214324e-05,0.0172278182929292,-0.000109404,31.3719467500025,34.82028004040404,29.07678371717172,12.141041313131325,-0.0905883333334109,99.62072691317584,Recycle,1
2018-04-12_cell_036,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,36,99,1.0575287,1.0577667,1.0593632474747476,1.0592286191919191,-0.0002379999999999,-0.0225052993833605,-2.1971919604205956e-05,0.0151344318989899,-8.82880000000006e-05,35.87907157748097,39.38680749559564,32.17568860041181,10.043494949494974,0.0005866666671252,100.02250529938335,Conditional Reuse,0
2017-06-30_cell_000,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,0,99,1.0700541,1.038452,1.0607473616161616,1.0606363626262627,0.0316020999999999,2.9533179677550856,-0.0003547307619047,0.0169172437474747,-0.0002129899999999,30.048713446074856,32.15767962626263,28.121771595959597,10.37477348484851,0.4223483333335025,97.04668203224492,Recycle,1
2017-05-12_cell_006,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,6,99,1.0758358,1.0792426,1.0809117848484848,1.080420604040404,-0.0034068,-0.3166654242218044,-4.80864687693515e-06,0.0165072685454545,-0.000333346,32.27384521945563,35.79263145454546,29.74772723232324,10.04485760942758,-0.0874249999996052,100.3166654242218,Conditional Reuse,0
2017-05-12_cell_015,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,15,99,1.0611236,1.0677497,1.0676568858585858,1.066969591919192,-0.0066261,-0.6244418652077929,2.9049360544208905e-05,0.0168399864343434,-0.000253296,33.147720104395674,37.05618863636364,29.95430322222223,14.92770846801342,-0.0833550000001501,100.6244418652078,Conditional Reuse,0
2017-05-12_cell_016,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,16,99,1.0811664,1.0863206,1.0864695565656566,1.0858408646464648,-0.0051541999999999,-0.4767258767938032,2.316027458255733e-05,0.0165288622828282,-1.481900000000272e-05,32.41716254671688,35.85141423232323,29.8397305959596,10.12547436026938,0.0003749999995612,100.4767258767938,Conditional Reuse,0
2018-04-12_cell_037,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,37,99,1.0465839,1.0483961,1.049442304040404,1.0502066717171716,-0.0018122,-0.1731538197749881,-2.051648732219477e-06,0.0147157734141414,-0.0001329569999999,35.01461049108638,37.82132622347397,31.973894538119445,11.03842819865316,-0.0003283333336483,100.17315381977498,Reuse,2
2017-06-30_cell_003,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,3,99,1.0668509,1.046734,1.0609244555555557,1.060231626262626,0.0201168999999998,1.8856336907059723,-0.0002273741682127,0.0161905454545454,-0.0003338249999999,33.65516741903765,38.53191763636363,30.06057302020202,10.137257121212132,0.138460000000002,98.11436630929404,Recycle,1
2018-04-12_cell_005,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,5,99,1.0514506,1.0518515,1.0531571414141414,1.052654377777778,-0.0004009,-0.0381282772581077,-1.602090043289747e-05,0.015182618050505,-0.0001672339999999,35.56013985266867,39.69079276471186,32.25708891393413,10.042010656565727,0.0016933333329998,100.03812827725812,Conditional Reuse,0
2018-04-12_cell_038,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,38,99,1.0701473,1.0710695,1.0719827515151514,1.071834697979798,-0.0009221999999999,-0.0861750527240487,-8.787589363023085e-06,0.0158358992424242,-0.000115897,34.745836319764145,37.73909067059503,31.511033631406463,10.043707962962928,-0.0052766666672461,100.08617505272406,Reuse,2
2017-05-12_cell_013,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,13,99,1.0797893,1.0836461,1.0842732373737374,1.084070097979798,-0.0038567999999998,-0.3571807944383114,4.458676561532405e-06,0.0170365509494949,-1.3330999999998372e-05,32.09216634315908,34.67959250505051,30.020152525252527,10.685353013468022,-0.0833700000003485,100.35718079443832,Conditional Reuse,0
2017-06-30_cell_002,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,2,99,1.0735391,1.0759984,1.0780272595959597,1.0772955686868688,-0.0024592999999999,-0.2290834120527088,-1.2791405071124345e-05,0.0175528956767676,-0.0002320819999999,32.74589101643199,37.39823604040404,29.849821292929292,10.068467895622891,0.0904849999998997,100.2290834120527,Recycle,1
2017-06-30_cell_024,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,24,99,1.0679682,1.0710108,1.0720803323232324,1.0718335646464645,-0.0030426000000001,-0.2848961233115478,2.7728014842328424e-06,0.0171059043636363,-0.000260558,30.080366485164745,32.040300414141406,28.446901111111117,10.04830535353536,0.0005550000001672,100.28489612331155,Recycle,1
2018-04-12_cell_045,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,45,99,1.0695485,1.0711251,1.0714658575757574,1.0713107808080806,-0.0015765999999999,-0.1474079950558509,-1.2584539270929646e-07,0.0156186924747474,-7.953999999999947e-05,32.72596355233115,34.6817726725469,30.852621310491138,11.038587558922575,-0.00171166666696,100.14740799505586,Reuse,2
2017-05-12_cell_042,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,42,99,1.0798725,1.0832821,1.083889183838384,1.0839663565656568,-0.0034095999999999,-0.3157409786803443,2.1135980210269398e-06,0.0167156228383838,0.000103314,33.58506724391689,37.673212,30.35210961616162,11.178124326599384,-0.0835516666668194,100.31574097868034,Conditional Reuse,0
2018-04-12_cell_043,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,43,99,1.0701852,1.0724185,1.0728844272727274,1.0726782111111113,-0.0022332999999998,-0.2086835063687932,3.041014223871185e-06,0.0158285013737373,-0.0001450279999999,33.89526904792961,36.95614928561784,30.878729493006865,10.043652104377044,-0.0007233333325231,100.2086835063688,Reuse,2
2018-04-12_cell_026,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,26,99,1.0720186,1.074435,1.075112296969697,1.0749619606060603,-0.0024163999999999,-0.2254065367895655,-4.288423005564325e-07,0.0155935727272727,-4.2369000000000434e-05,35.745916536891265,39.14135891629517,32.32542000468721,10.042290858585826,0.002345000000302,100.22540653678958,Reuse,2
2017-05-12_cell_037,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,37,99,1.0748194,1.0768065,1.0780300424242424,1.077913713131313,-0.0019871,-0.1848775710598468,-9.680958565250122e-06,0.016546422020202,6.718000000000002e-05,32.95969887229894,36.05156987878787,30.246154101010102,11.561455202020229,0.0002933333335626,100.18487757105984,Conditional Reuse,0
2017-06-30_cell_017,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,17,99,1.0656468,1.073837,1.0745826868686867,1.0742462525252523,-0.0081902,-0.7685660952578319,2.0565896103886607e-05,0.017382454080808,-0.000504403,31.43027752322513,34.27828941414142,29.57840173737373,10.148735757575782,0.0156899999999335,100.76856609525784,Recycle,1
2018-04-12_cell_033,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,33,99,1.060272,1.0609198,1.062159194949495,1.062158602020202,-0.0006477999999998,-0.0610975296904817,-1.259104514533449e-05,0.0153407971717171,-0.0001539929999999,33.10710984192206,34.284327507895505,31.679991708191025,10.043259696969717,-0.000381666666362,100.06109752969049,Reuse,2
2017-05-12_cell_010,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,10,99,1.0752757,1.0816405,1.0817046181818184,1.0809541363636364,-0.0063648,-0.5919226111033719,2.529188002474074e-05,0.0163966556161616,8.308200000000168e-05,33.20815066846232,36.87145022222223,30.29658949494949,11.688040235690274,-0.0001083333338698,100.59192261110336,Conditional Reuse,0
2017-06-30_cell_030,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,30,99,1.0672802,1.071249,1.072151225252525,1.0719712303030302,-0.0039687999999999,-0.3718611101377121,8.45844403215631e-06,0.0174974651212121,-0.00031568,32.406531360848675,36.53235286868687,29.984983777777774,10.138687828282814,0.0833866666665326,100.37186111013771,Recycle,1
2017-06-30_cell_032,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,32,99,1.0742669,1.0795146,1.0796738595959596,1.08002901010101,-0.0052476999999999,-0.4884912678590363,1.7829948051949118e-05,0.0175375437070707,0.0001094139999999,33.24763715966938,37.88489983838383,30.31475446464647,10.137393569023583,0.0832149999999565,100.48849126785905,Conditional Reuse,0
2017-06-30_cell_042,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,42,99,1.0780239,1.082616,1.0831219444444442,1.0831846383838384,-0.0045920999999999,-0.4259738582790221,1.1841173778598723e-05,0.0172180923434343,-9.29529999999998e-05,33.13768962997446,38.01192291919192,30.34854903030303,10.136828434343444,0.000380000000101,100.42597385827902,Recycle,1
2017-06-30_cell_040,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,40,99,1.0765519,1.0798434,1.081252198989899,1.081657755555555,-0.0032915,-0.3057446649808525,-1.993067903525578e-05,0.0171966237070707,-0.000469548,33.3410543545083,38.19932831313131,30.393990585858585,10.135643552188554,0.0010450000001576,100.30574466498084,Recycle,1
